date	median_sales_price_usd	series_id	frequency	units
1963-01-01	17800	MSPUS	Quarterly	Dollars
1963-04-01	18000	MSPUS	Quarterly	Dollars
1963-07-01	17900	MSPUS	Quarterly	Dollars
1963-10-01	18500	MSPUS	Quarterly	Dollars
1964-01-01	18500	MSPUS	Quarterly	Dollars
1964-04-01	18900	MSPUS	Quarterly	Dollars
1964-07-01	18900	MSPUS	Quarterly	Dollars
1964-10-01	19400	MSPUS	Quarterly	Dollars
1965-01-01	20200	MSPUS	Quarterly	Dollars
1965-04-01	19800	MSPUS	Quarterly	Dollars
1965-07-01	20200	MSPUS	Quarterly	Dollars
1965-10-01	20300	MSPUS	Quarterly	Dollars
1966-01-01	21000	MSPUS	Quarterly	Dollars
1966-04-01	22100	MSPUS	Quarterly	Dollars
1966-07-01	21500	MSPUS	Quarterly	Dollars
1966-10-01	21400	MSPUS	Quarterly	Dollars
1967-01-01	22300	MSPUS	Quarterly	Dollars
1967-04-01	23300	MSPUS	Quarterly	Dollars
1967-07-01	22500	MSPUS	Quarterly	Dollars
1967-10-01	22900	MSPUS	Quarterly	Dollars
1968-01-01	23900	MSPUS	Quarterly	Dollars
1968-04-01	24900	MSPUS	Quarterly	Dollars
1968-07-01	24800	MSPUS	Quarterly	Dollars
1968-10-01	25600	MSPUS	Quarterly	Dollars
1969-01-01	25700	MSPUS	Quarterly	Dollars
1969-04-01	25900	MSPUS	Quarterly	Dollars
1969-07-01	25900	MSPUS	Quarterly	Dollars
1969-10-01	24900	MSPUS	Quarterly	Dollars
1970-01-01	23900	MSPUS	Quarterly	Dollars
1970-04-01	24400	MSPUS	Quarterly	Dollars
1970-07-01	23000	MSPUS	Quarterly	Dollars
1970-10-01	22600	MSPUS	Quarterly	Dollars
1971-01-01	24300	MSPUS	Quarterly	Dollars
1971-04-01	25800	MSPUS	Quarterly	Dollars
1971-07-01	25300	MSPUS	Quarterly	Dollars
1971-10-01	25500	MSPUS	Quarterly	Dollars
1972-01-01	26200	MSPUS	Quarterly	Dollars
1972-04-01	26800	MSPUS	Quarterly	Dollars
1972-07-01	27900	MSPUS	Quarterly	Dollars
1972-10-01	29200	MSPUS	Quarterly	Dollars
1973-01-01	30200	MSPUS	Quarterly	Dollars
1973-04-01	32700	MSPUS	Quarterly	Dollars
1973-07-01	33500	MSPUS	Quarterly	Dollars
1973-10-01	34000	MSPUS	Quarterly	Dollars
1974-01-01	35200	MSPUS	Quarterly	Dollars
1974-04-01	35600	MSPUS	Quarterly	Dollars
1974-07-01	36200	MSPUS	Quarterly	Dollars
1974-10-01	37200	MSPUS	Quarterly	Dollars
1975-01-01	38100	MSPUS	Quarterly	Dollars
1975-04-01	39000	MSPUS	Quarterly	Dollars
1975-07-01	38800	MSPUS	Quarterly	Dollars
1975-10-01	41200	MSPUS	Quarterly	Dollars
1976-01-01	42800	MSPUS	Quarterly	Dollars
1976-04-01	44200	MSPUS	Quarterly	Dollars
1976-07-01	44400	MSPUS	Quarterly	Dollars
1976-10-01	45500	MSPUS	Quarterly	Dollars
1977-01-01	46300	MSPUS	Quarterly	Dollars
1977-04-01	48900	MSPUS	Quarterly	Dollars
1977-07-01	48800	MSPUS	Quarterly	Dollars
1977-10-01	51600	MSPUS	Quarterly	Dollars
1978-01-01	53000	MSPUS	Quarterly	Dollars
1978-04-01	55300	MSPUS	Quarterly	Dollars
1978-07-01	56100	MSPUS	Quarterly	Dollars
